Time;Channel A;Channel B
(ms);(V);(V)

-2,10574493;2,29804400;1,95074300
-2,06478493;2,47825600;1,95074300
-2,02382493;2,34305900;1,95074300
-1,98286493;2,47825600;1,95074300
-1,94190493;2,56843800;1,95074300
-1,90094493;2,56843800;1,95074300
-1,85998493;2,61345300;1,95074300
-1,81902493;2,74865000;1,95074300
-1,77806493;2,65846700;1,99514800
-1,73710493;2,47825600;1,95074300
-1,69614493;2,52327000;1,95074300
-1,65518493;2,47825600;1,95074300
-1,61422493;2,38807300;1,95074300
-1,57326493;2,38807300;1,95074300
-1,53230493;2,38807300;1,95074300
-1,49134493;2,29804400;1,95074300
-1,45038493;2,34305900;1,95074300
-1,40942493;2,38807300;1,95074300
-1,36846493;2,65846700;1,95074300
-1,32750493;2,47825600;1,95074300
-1,28654493;2,47825600;1,99514800
-1,24558493;2,74865000;1,95074300
-1,20462493;2,56843800;1,95074300
-1,16366493;2,56843800;1,95074300
-1,12270493;2,56843800;1,95074300
-1,08174493;2,65846700;1,95074300
-1,04078493;2,38807300;1,95074300
-0,99982493;3,10922600;1,95074300
-0,95886493;2,43324100;1,95074300
-0,91790493;2,34305900;1,95074300
-0,87694493;2,47825600;1,95074300
-0,83598493;2,47825600;1,95074300
-0,79502493;2,47825600;1,95074300
-0,75406493;2,70363500;1,95074300
-0,71310494;2,61345300;1,99514800
-0,67214494;2,56843800;1,95074300
-0,63118494;2,56843800;1,95074300
-0,59022494;2,52327000;1,95074300
-0,54926494;2,74865000;1,99514800
-0,50830494;2,65846700;1,95074300
-0,46734494;2,65846700;1,95074300
-0,42638494;2,56843800;1,95074300
-0,38542494;2,52327000;1,95074300
-0,34446494;2,38807300;1,95074300
-0,30350494;2,38807300;1,95074300
-0,26254494;2,38807300;1,95074300
-0,22158494;2,43324100;1,95074300
-0,18062494;2,47825600;1,95074300
-0,13966494;2,52327000;1,95074300
-0,09870494;2,56843800;1,95074300
-0,05774494;2,56843800;1,95074300
-0,01678494;1,93746800;1,95074300
0,02417506;2,20786200;2,88430400
0,06513506;2,65846700;2,88430400
0,10609506;2,65846700;2,88430400
0,14705506;2,52327000;2,88430400
0,18801506;2,56843800;2,88430400
