Time;Channel B
(ms);(V)

-2,09597693;2,66213000
-2,09341693;2,66213000
-2,09085693;2,57316800
-2,08829693;2,52876400
-2,08573693;2,61757300
-2,08317693;2,66213000
-2,08061693;2,57316800
-2,07805693;2,52876400
-2,07549693;2,57316800
-2,07293693;2,52876400
-2,07037693;2,43980200
-2,06781693;2,48420700
-2,06525693;2,52876400
-2,06269693;2,43980200
-2,06013693;2,39524500
-2,05757693;2,48420700
-2,05501693;2,52876400
-2,05245693;2,52876400
-2,04989693;2,48420700
-2,04733693;2,48420700
-2,04477693;2,52876400
-2,04221693;2,52876400
-2,03965693;2,43980200
-2,03709693;2,43980200
-2,03453693;2,52876400
-2,03197693;2,57316800
-2,02941693;2,61757300
-2,02685693;2,57316800
-2,02429693;2,52876400
-2,02173693;2,57316800
-2,01917693;2,57316800
-2,01661693;2,52876400
-2,01405693;2,48420700
-2,01149693;2,48420700
-2,00893693;2,52876400
-2,00637693;2,43980200
-2,00381693;2,43980200
-2,00125693;2,52876400
-1,99869693;2,52876400
-1,99613693;2,48420700
-1,99357693;2,48420700
-1,99101693;2,48420700
-1,98845693;2,48420700
-1,98589693;2,52876400
-1,98333693;2,48420700
-1,98077693;2,43980200
-1,97821693;2,52876400
-1,97565693;2,52876400
-1,97309693;2,48420700
-1,97053693;2,43980200
-1,96797693;2,48420700
-1,96541693;2,48420700
-1,96285693;2,43980200
-1,96029693;2,43980200
-1,95773693;2,52876400
-1,95517693;2,48420700
-1,95261693;2,43980200
-1,95005693;2,48420700
-1,94749693;2,48420700
-1,94493693;2,52876400
-1,94237693;2,57316800
-1,93981693;2,52876400
-1,93725693;2,48420700
-1,93469693;2,52876400
-1,93213693;2,57316800
-1,92957693;2,48420700
-1,92701693;2,43980200
-1,92445693;2,48420700
-1,92189693;2,52876400
-1,91933693;2,48420700
-1,91677693;2,43980200
-1,91421693;2,48420700
-1,91165693;2,48420700
-1,90909693;2,43980200
-1,90653693;2,43980200
-1,90397693;2,48420700
-1,90141693;2,52876400
-1,89885693;2,61757300
-1,89629693;2,61757300
-1,89373693;2,57316800
-1,89117693;2,52876400
-1,88861693;2,57316800
-1,88605693;2,57316800
-1,88349693;2,48420700
-1,88093693;2,43980200
-1,87837693;2,48420700
-1,87581693;2,52876400
-1,87325693;2,48420700
-1,87069693;2,48420700
-1,86813693;2,52876400
-1,86557693;2,52876400
-1,86301693;2,39524500
-1,86045693;2,39524500
-1,85789693;2,48420700
-1,85533693;2,52876400
-1,85277693;2,61757300
-1,85021693;2,66213000
-1,84765693;2,57316800
-1,84509693;2,57316800
-1,84253693;2,57316800
-1,83997693;2,52876400
-1,83741693;2,52876400
-1,83485693;2,57316800
-1,83229693;2,57316800
-1,82973693;2,52876400
-1,82717693;2,52876400
-1,82461693;2,57316800
-1,82205693;2,57316800
-1,81949693;2,48420700
-1,81693693;2,39524500
-1,81437693;2,43980200
-1,81181693;2,43980200
-1,80925693;2,39524500
-1,80669693;2,43980200
-1,80413693;2,52876400
-1,80157693;2,48420700
-1,79901693;2,43980200
-1,79645693;2,48420700
-1,79389693;2,52876400
-1,79133693;2,57316800
-1,78877693;2,61757300
-1,78621693;2,52876400
-1,78365693;2,52876400
-1,78109693;2,57316800
-1,77853693;2,61757300
-1,77597693;2,52876400
-1,77341693;2,48420700
-1,77085693;2,52876400
-1,76829693;2,52876400
-1,76573693;2,43980200
-1,76317693;2,39524500
-1,76061693;2,39524500
-1,75805693;2,43980200
-1,75549693;2,39524500
-1,75293693;2,43980200
-1,75037693;2,48420700
-1,74781693;2,57316800
-1,74525693;2,57316800
-1,74269693;2,48420700
-1,74013693;2,48420700
-1,73757693;2,48420700
-1,73501693;2,39524500
-1,73245693;2,39524500
-1,72989693;2,43980200
-1,72733693;2,48420700
-1,72477693;2,57316800
-1,72221693;2,61757300
-1,71965693;2,52876400
-1,71709693;2,52876400
-1,71453693;2,57316800
-1,71197693;2,52876400
-1,70941693;2,48420700
-1,70685693;2,48420700
-1,70429693;2,52876400
-1,70173693;2,57316800
-1,69917693;2,57316800
-1,69661693;2,52876400
-1,69405693;2,48420700
-1,69149693;2,48420700
-1,68893693;2,48420700
-1,68637693;2,57316800
-1,68381693;2,61757300
-1,68125693;2,70653400
-1,67869693;2,70653400
-1,67613693;2,57316800
-1,67357693;2,57316800
-1,67101693;2,52876400
-1,66845693;2,39524500
-1,66589693;2,35084100
-1,66333693;2,30643600
-1,66077693;2,35084100
-1,65821693;2,39524500
-1,65565693;2,48420700
-1,65309693;2,39524500
-1,65053693;2,39524500
-1,64797693;2,48420700
-1,64541693;2,48420700
-1,64285693;2,39524500
-1,64029693;2,35084100
-1,63773693;2,35084100
-1,63517693;2,48420700
-1,63261693;2,57316800
-1,63005693;2,57316800
-1,62749693;2,57316800
-1,62493693;2,66213000
-1,62237693;2,66213000
-1,61981693;2,52876400
-1,61725693;2,48420700
-1,61469693;2,48420700
-1,61213693;2,52876400
-1,60957693;2,48420700
-1,60701693;2,48420700
-1,60445693;2,52876400
-1,60189693;2,48420700
-1,59933693;2,48420700
-1,59677693;2,48420700
-1,59421693;2,52876400
-1,59165693;2,57316800
-1,58909693;2,57316800
-1,58653693;2,57316800
-1,58397693;2,52876400
-1,58141693;2,61757300
-1,57885693;2,61757300
-1,57629693;2,52876400
-1,57373693;2,48420700
-1,57117693;2,52876400
-1,56861693;2,52876400
-1,56605693;2,48420700
-1,56349693;2,39524500
-1,56093693;2,39524500
-1,55837693;2,39524500
-1,55581693;2,35084100
-1,55325693;2,30643600
-1,55069693;2,39524500
-1,54813693;2,43980200
-1,54557693;2,57316800
-1,54301693;2,52876400
-1,54045693;2,57316800
-1,53789693;2,57316800
-1,53533693;2,57316800
-1,53277693;2,52876400
-1,53021693;2,52876400
-1,52765693;2,57316800
-1,52509693;2,57316800
-1,52253693;2,57316800
-1,51997693;2,57316800
-1,51741693;2,61757300
-1,51485693;2,52876400
-1,51229693;2,43980200
-1,50973693;2,43980200
-1,50717693;2,48420700
-1,50461693;2,52876400
-1,50205693;2,57316800
-1,49949693;2,57316800
-1,49693693;2,57316800
-1,49437693;2,57316800
-1,49181693;2,57316800
-1,48925693;2,48420700
-1,48669693;2,39524500
-1,48413693;2,43980200
-1,48157693;2,52876400
-1,47901693;2,57316800
-1,47645693;2,52876400
-1,47389693;2,48420700
-1,47133693;2,52876400
-1,46877693;2,52876400
-1,46621693;2,39524500
-1,46365693;2,35084100
-1,46109693;2,39524500
-1,45853693;2,43980200
-1,45597693;2,57316800
-1,45341693;2,57316800
-1,45085693;2,52876400
-1,44829693;2,52876400
-1,44573693;2,57316800
-1,44317693;2,57316800
-1,44061693;2,48420700
-1,43805693;2,39524500
-1,43549693;2,43980200
-1,43293693;2,43980200
-1,43037693;2,39524500
-1,42781693;2,39524500
-1,42525693;2,48420700
-1,42269693;2,52876400
-1,42013693;2,57316800
-1,41757693;2,66213000
-1,41501693;2,57316800
-1,41245693;2,52876400
-1,40989694;2,52876400
-1,40733694;2,48420700
-1,40477694;2,39524500
-1,40221694;2,39524500
-1,39965694;2,43980200
-1,39709694;2,48420700
-1,39453694;2,57316800
-1,39197694;2,61757300
-1,38941694;2,57316800
-1,38685694;2,52876400
-1,38429694;2,57316800
-1,38173694;2,52876400
-1,37917694;2,48420700
-1,37661694;2,48420700
-1,37405694;2,48420700
-1,37149694;2,39524500
-1,36893694;2,39524500
-1,36637694;2,43980200
-1,36381694;2,35084100
-1,36125694;2,35084100
-1,35869694;2,39524500
-1,35613694;2,43980200
-1,35357694;2,52876400
-1,35101694;2,57316800
-1,34845694;2,70653400
-1,34589694;2,66213000
-1,34333694;2,66213000
-1,34077694;2,70653400
-1,33821694;2,57316800
-1,33565694;2,48420700
-1,33309694;2,48420700
-1,33053694;2,48420700
-1,32797694;2,39524500
-1,32541694;2,35084100
-1,32285694;2,43980200
-1,32029694;2,43980200
-1,31773694;2,39524500
-1,31517694;2,43980200
-1,31261694;2,48420700
-1,31005694;2,57316800
-1,30749694;2,61757300
-1,30493694;2,70653400
-1,30237694;2,66213000
-1,29981694;2,57316800
-1,29725694;2,57316800
-1,29469694;2,57316800
-1,29213694;2,48420700
-1,28957694;2,39524500
-1,28701694;2,39524500
-1,28445694;2,48420700
-1,28189694;2,39524500
-1,27933694;2,43980200
-1,27677694;2,52876400
-1,27421694;2,57316800
-1,27165694;2,61757300
-1,26909694;2,52876400
-1,26653694;2,52876400
-1,26397694;2,48420700
-1,26141694;2,57316800
-1,25885694;2,57316800
-1,25629694;2,48420700
-1,25373694;2,48420700
-1,25117694;2,52876400
-1,24861694;2,57316800
-1,24605694;2,57316800
-1,24349694;2,52876400
-1,24093694;2,48420700
-1,23837694;2,48420700
-1,23581694;2,39524500
-1,23325694;2,39524500
-1,23069694;2,48420700
-1,22813694;2,52876400
-1,22557694;2,57316800
-1,22301694;2,52876400
