time	V(n004)
2.351421754694322e-05	2.529701e+00
2.358278897551499e-05	2.530030e+00
2.365136040408675e-05	2.530346e+00
2.371993183265851e-05	2.530641e+00
2.378850326123028e-05	2.530911e+00
2.385707468980204e-05	2.531157e+00
2.392564611837381e-05	2.531378e+00
2.399421754694557e-05	2.531576e+00
2.406278897551734e-05	2.531749e+00
2.413136040408910e-05	2.531898e+00
2.419421754694655e-05	2.532006e+00
2.425707468980401e-05	2.532100e+00
2.431993183266146e-05	2.532179e+00
2.438278897551891e-05	2.532243e+00
2.444564611837636e-05	2.532293e+00
2.450850326123381e-05	2.532328e+00
2.457136040409126e-05	2.532349e+00
2.463421754694871e-05	2.532364e+00
2.469707468980616e-05	2.532380e+00
2.475993183266361e-05	2.532397e+00
2.482278897552107e-05	2.532415e+00
2.488564611837852e-05	2.532435e+00
2.494850326123597e-05	2.532456e+00
2.501136040409342e-05	2.532478e+00
2.506850326123656e-05	2.532510e+00
2.512564611837969e-05	2.532544e+00
2.518278897552283e-05	2.532582e+00
2.523993183266597e-05	2.532622e+00
2.529707468980910e-05	2.532666e+00
2.535421754695224e-05	2.532713e+00
2.541136040409538e-05	2.532763e+00
2.546993183266710e-05	2.532814e+00
2.552850326123881e-05	2.532855e+00
2.558707468981053e-05	2.532887e+00
2.564564611838224e-05	2.532908e+00
2.570421754695396e-05	2.532920e+00
2.576278897552567e-05	2.532921e+00
2.582136040409739e-05	2.532913e+00
2.587707468981195e-05	2.532885e+00
2.593278897552651e-05	2.532840e+00
2.598850326124107e-05	2.532777e+00
2.604421754695563e-05	2.532697e+00
2.609993183267018e-05	2.532599e+00
2.615564611838474e-05	2.532484e+00
2.621136040409930e-05	2.532352e+00
2.629850326124259e-05	2.532104e+00
2.638564611838587e-05	2.531826e+00
2.647278897552916e-05	2.531519e+00
2.655993183267244e-05	2.531184e+00
2.664707468981572e-05	2.530819e+00
2.673421754695901e-05	2.530424e+00
2.682136040410229e-05	2.530001e+00
2.685850326124533e-05	2.529818e+00
2.689564611838837e-05	2.529633e+00
2.693278897553141e-05	2.529445e+00
2.696993183267445e-05	2.529254e+00
2.700707468981749e-05	2.529061e+00
2.704421754696053e-05	2.528865e+00
2.708136040410357e-05	2.528667e+00
2.714136040410386e-05	2.528338e+00
2.720136040410416e-05	2.528007e+00
2.726136040410445e-05	2.527674e+00
2.732136040410474e-05	2.527339e+00
2.738136040410504e-05	2.527002e+00
2.744136040410533e-05	2.526663e+00
2.750136040410563e-05	2.526321e+00
2.756278897553450e-05	2.525976e+00
2.762421754696337e-05	2.525643e+00
2.768564611839225e-05	2.525324e+00
2.774707468982112e-05	2.525017e+00
2.780850326124999e-05	2.524722e+00
2.786993183267886e-05	2.524441e+00
2.793136040410774e-05	2.524173e+00
2.799136040410803e-05	2.523935e+00
2.805136040410832e-05	2.523714e+00
2.811136040410862e-05	2.523510e+00
2.817136040410891e-05	2.523322e+00
2.823136040410921e-05	2.523152e+00
2.829136040410950e-05	2.522999e+00
2.835136040410980e-05	2.522862e+00
2.840850326125293e-05	2.522746e+00
2.846564611839607e-05	2.522631e+00
2.852278897553921e-05	2.522518e+00
2.857993183268234e-05	2.522407e+00
2.863707468982548e-05	2.522298e+00
2.869421754696862e-05	2.522190e+00
2.875136040411176e-05	2.522085e+00
2.879707468982627e-05	2.521992e+00
2.884278897554078e-05	2.521893e+00
2.888850326125529e-05	2.521788e+00
2.893421754696980e-05	2.521675e+00
2.897993183268431e-05	2.521556e+00
2.902564611839882e-05	2.521430e+00
2.907136040411333e-05	2.521297e+00
2.915850326125661e-05	2.521023e+00
2.924564611839989e-05	2.520719e+00
2.933278897554318e-05	2.520385e+00
2.941993183268646e-05	2.520020e+00
2.950707468982975e-05	2.519625e+00
2.959421754697303e-05	2.519200e+00
2.968136040411632e-05	2.518744e+00
2.978421754697396e-05	2.518155e+00
2.988707468983161e-05	2.517516e+00
2.998993183268926e-05	2.516827e+00
3.009278897554691e-05	2.516086e+00
3.019564611840455e-05	2.515296e+00
3.029850326126220e-05	2.514455e+00
3.040136040411985e-05	2.513564e+00
3.067136040412117e-05	2.511057e+00
3.072564611840715e-05	2.510525e+00
3.077993183269313e-05	2.509988e+00
3.083421754697911e-05	2.509444e+00
3.088850326126509e-05	2.508894e+00
3.094278897555107e-05	2.508338e+00
3.099707468983705e-05	2.507777e+00
3.105136040412303e-05	2.507209e+00
3.110278897555186e-05	2.506664e+00
