time;V(V_tia);
0.00764221;1.0248;
0.00764321;1.0248;
0.00764421;1.0248;
0.00764521;1.0248;
0.00764621;1.0248;
0.00764721;1.0248;
0.00764821;1.0248;
0.00764921;1.0248;
0.00765021;1.0248;
0.00765121;1.0248;
0.00765221;1.0248;
0.00765321;1.0248;
0.00765421;1.0248;
0.00765521;1.0248;
0.00765621;1.0248;
0.00765721;1.0248;
0.00765821;1.0248;
0.00765921;1.0248;
0.00766021;1.0248;
0.00766121;1.0248;
0.00766221;1.0248;
0.00766321;1.0248;
0.00766421;1.0248;
0.00766521;1.0248;
0.00766621;1.0248;
0.00766721;1.0248;
0.00766821;1.0248;
0.00766921;1.0248;
0.00767021;1.0248;
0.00767121;1.0248;
0.00767221;1.0248;
0.00767321;1.0248;
0.00767421;1.0248;
0.00767521;1.0248;
0.00767621;1.0248;
0.00767721;1.0248;
0.00767821;1.0248;
0.00767921;1.0248;
0.00768021;1.0248;
0.00768121;1.0248;
0.00768221;1.0248;
0.00768321;1.0248;
0.00768421;1.0248;
0.00768521;1.0248;
0.00768621;1.0248;
0.00768721;1.0248;
0.00768821;1.0248;
0.00768921;1.0248;
0.00769021;1.0248;
0.00769121;1.0248;
0.00769221;1.0248;
0.00769321;1.0248;
0.00769421;1.0248;
0.00769521;1.0248;
0.00769621;1.0248;
0.00769721;1.0248;
0.00769821;1.0248;
0.00769921;1.0248;
0.00770021;1.0248;
0.00770121;1.0248;
0.00770221;1.0248;
0.00770321;1.0248;
0.00770421;1.0248;
0.00770521;1.0248;
0.00770621;1.0248;
0.00770721;1.0248;
0.00770821;1.0248;
0.00770921;1.0248;
0.00771021;1.0248;
0.00771121;1.0248;
0.00771221;1.0248;
0.00771321;1.0248;
0.00771421;1.0248;
0.00771521;1.0248;
0.00771621;1.0248;
0.00771721;1.0248;
0.00771821;1.0248;
0.00771921;1.0248;
0.00772021;1.0248;
0.00772121;1.0248;
0.00772221;1.0248;
0.00772321;1.0248;
0.00772421;1.0248;
0.00772521;1.0248;
0.00772621;1.0248;
0.00772721;1.0248;
0.00772821;1.0248;
0.00772921;1.0248;
0.00773021;1.0248;
0.00773121;1.0248;
0.00773221;1.0248;
0.00773321;1.0248;
0.00773421;1.0248;
0.00773521;1.0248;
0.00773621;1.0248;
0.00773721;1.0248;
0.00773821;1.0248;
0.00773921;1.0248;
0.00774021;1.0248;
0.00774121;1.0248;
0.00774221;1.0248;
0.00774321;1.0248;
0.00774421;1.0248;
0.00774521;1.0248;
0.00774621;1.0248;
0.00774721;1.0248;
0.00774821;1.0248;
0.00774921;1.0248;
0.00775021;1.0248;
0.00775121;1.0248;
0.00775221;1.0248;
0.00775321;1.0248;
0.00775421;1.0248;
0.00775521;1.0248;
0.00775621;1.0248;
0.00775721;1.0248;
0.00775821;1.0248;
0.00775921;1.0248;
0.00776021;1.0248;
0.00776121;1.0248;
0.00776221;1.0248;
0.00776321;1.0248;
0.00776421;1.0248;
0.00776521;1.0248;
0.00776621;1.0248;
0.00776721;1.0248;
0.00776821;1.0248;
0.00776921;1.0248;
0.00777021;1.0248;
0.00777121;1.0248;
0.00777221;1.0248;
0.00777321;1.0248;
0.00777421;1.0248;
0.00777521;1.0248;
0.00777621;1.0248;
0.00777721;1.0248;
0.00777821;1.0248;
0.00777921;1.0248;
0.00778021;1.0248;
0.00778121;1.0248;
0.00778221;1.0248;
0.00778321;1.0248;
0.00778421;1.0248;
0.00778521;1.0248;
0.00778621;1.0248;
0.00778721;1.0248;
0.00778821;1.0248;
0.00778921;1.0248;
0.00779021;1.0248;
0.00779121;1.0248;
0.00779221;1.0248;
0.00779321;1.0248;
0.00779421;1.0248;
0.00779521;1.0248;
0.00779621;1.0248;
0.00779721;1.0248;
0.00779821;1.0248;
0.00779921;1.0248;
0.00780021;1.0248;
0.00780121;1.0248;
0.00780221;1.0248;
0.00780321;1.0248;
0.00780421;1.0248;
0.00780521;1.0248;
0.00780621;1.0248;
0.00780721;1.0248;
0.00780821;1.0248;
0.00780921;1.0248;
0.00781021;1.0248;
0.00781121;1.0248;
0.00781221;1.0248;
0.00781321;1.0248;
0.00781421;1.0248;
0.00781521;1.0248;
0.00781621;1.0248;
0.00781721;1.0248;
0.00781821;1.0248;
0.00781921;1.0248;
0.00782021;1.0248;
0.00782121;1.0248;
0.00782221;1.0248;
0.00782321;1.0248;
0.00782421;1.0248;
0.00782521;1.0248;
0.00782621;1.0248;
0.00782721;1.0248;
0.00782821;1.0248;
0.00782921;1.0248;
0.00783021;1.0248;
0.00783121;1.0248;
0.00783221;1.0248;
0.00783321;1.0248;
0.00783421;1.0248;
0.00783521;1.0248;
0.00783621;1.0248;
0.00783721;1.0248;
0.00783821;1.0248;
0.00783921;1.0248;
0.00784021;1.0248;
0.00784121;1.0248;
0.00784221;1.0248;
0.00784321;1.0248;
0.00784421;1.0248;
0.00784521;1.0248;
0.00784621;1.0248;
0.00784721;1.0248;
0.00784821;1.0248;
0.00784921;1.0248;
0.00785021;1.0248;
0.00785121;1.0248;
0.00785221;1.0248;
0.00785321;1.0248;
0.00785421;1.0248;
0.00785521;1.0248;
0.00785621;1.0248;
0.00785721;1.0248;
0.00785821;1.0248;
0.00785921;1.0248;
0.00786021;1.0248;
0.00786121;1.0248;
0.00786221;1.0248;
0.00786321;1.0248;
0.00786421;1.0248;
0.00786521;1.0248;
0.00786621;1.0248;
0.00786721;1.0248;
0.00786821;1.0248;
0.00786921;1.0248;
0.00787021;1.0248;
0.00787121;1.0248;
0.00787221;1.0248;
0.00787321;1.0248;
0.00787421;1.0248;
0.00787521;1.0248;
0.00787621;1.0248;
0.00787721;1.0248;
0.00787821;1.0248;
0.00787921;1.0248;
0.00788021;1.0248;
0.00788121;1.0248;
0.00788221;1.0248;
0.00788321;1.0248;
0.00788421;1.0248;
0.00788521;1.0248;
0.00788621;1.0248;
0.00788721;1.0248;
0.00788821;1.0248;
0.00788921;1.0248;
0.00789021;1.0248;
0.00789121;1.0248;
0.00789221;1.0248;
0.00789321;1.0248;
