time;V(V_filt);
0.00266859;-1.72153e-05;
0.00266959;-1.73231e-05;
0.00267059;-1.7431e-05;
0.00267159;-1.75389e-05;
0.00267259;-1.76468e-05;
0.00267359;-1.77546e-05;
0.00267459;-1.78625e-05;
0.00267559;-1.79703e-05;
0.00267659;-1.80781e-05;
0.00267759;-1.8186e-05;
0.00267859;-1.82938e-05;
0.00267959;-1.84016e-05;
0.00268059;-1.85094e-05;
0.00268159;-1.86172e-05;
0.00268259;-1.8725e-05;
0.00268359;-1.88328e-05;
0.00268459;-1.89406e-05;
0.00268559;-1.90483e-05;
0.00268659;-1.91561e-05;
0.00268759;-1.92639e-05;
0.00268859;-1.93716e-05;
0.00268959;-1.94794e-05;
0.00269059;-1.95871e-05;
0.00269159;-1.96948e-05;
0.00269259;-1.98025e-05;
0.00269359;-1.99102e-05;
0.00269459;-2.00179e-05;
0.00269559;-2.01256e-05;
0.00269659;-2.02333e-05;
0.00269759;-2.0341e-05;
0.00269859;-2.04487e-05;
0.00269959;-2.05563e-05;
0.00270059;-2.0664e-05;
0.00270159;-2.07716e-05;
0.00270259;-2.08793e-05;
0.00270359;-2.09869e-05;
0.00270459;-2.10945e-05;
0.00270559;-2.12021e-05;
0.00270659;-2.13097e-05;
0.00270759;-2.14173e-05;
0.00270859;-2.15249e-05;
0.00270959;-2.16325e-05;
0.00271059;-2.17401e-05;
0.00271159;-2.18476e-05;
0.00271259;-2.19552e-05;
0.00271359;-2.20627e-05;
0.00271459;-2.21703e-05;
0.00271559;-2.22778e-05;
0.00271659;-2.23853e-05;
0.00271759;-2.24928e-05;
0.00271859;-2.26003e-05;
0.00271959;-2.27078e-05;
0.00272059;-2.28153e-05;
0.00272159;-2.29228e-05;
0.00272259;-2.30302e-05;
0.00272359;-2.31377e-05;
0.00272459;-2.32451e-05;
0.00272559;-2.33526e-05;
0.00272659;-2.346e-05;
0.00272759;-2.35674e-05;
0.00272859;-2.36748e-05;
0.00272959;-2.37822e-05;
0.00273059;-2.38896e-05;
0.00273159;-2.3997e-05;
0.00273259;-2.41044e-05;
0.00273359;-2.42117e-05;
0.00273459;-2.43191e-05;
0.00273559;-2.44264e-05;
0.00273659;-2.45338e-05;
0.00273759;-2.46411e-05;
0.00273859;-2.47484e-05;
0.00273959;-2.48557e-05;
0.00274059;-2.4963e-05;
0.00274159;-2.50703e-05;
0.00274259;-2.51776e-05;
0.00274359;-2.52848e-05;
0.00274459;-2.53921e-05;
0.00274559;-2.54993e-05;
0.00274659;-2.56066e-05;
0.00274759;-2.57138e-05;
0.00274859;-2.5821e-05;
0.00274959;-2.59282e-05;
0.00275059;-2.60354e-05;
0.00275159;-2.61426e-05;
0.00275259;-2.62498e-05;
0.00275359;-2.63569e-05;
0.00275459;-2.64641e-05;
0.00275559;-2.65712e-05;
0.00275659;-2.66783e-05;
